Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
1,1765677369613,14/12/2025 01:56:09,1765677368673,-6,13/12/2025 19:56:08,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x551,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,
2,1765677393027,14/12/2025 01:56:33,1765677392157,-6,13/12/2025 19:56:32,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,1,Screen 1,advancementZone,continue_button,23296.69999998808,,,0,,,,,,,,microphoneCheck,,,
3,1765677401134,14/12/2025 01:56:41,1765677400284,-6,13/12/2025 19:56:40,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,2,Screen 2,Zone3,continue_button,8109,,,0,,,,,,,,microphoneCheck,,,
4,1765677403582,14/12/2025 01:56:43,1765677402749,-6,13/12/2025 19:56:42,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,2455.899999976158,,STARTED RECORDING,0,,,,,,,,microphoneCheck,,,
5,1765677408579,14/12/2025 01:56:48,1765677407751,-6,13/12/2025 19:56:47,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,7458.199999988079,,STOPPED RECORDING,0,,,,,,,,microphoneCheck,,,
6,1765677408738,14/12/2025 01:56:48,1765677407752,-6,13/12/2025 19:56:47,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,7459.799999952316,,TRANSCODING START,0,,,,,,,,microphoneCheck,,,
7,1765677409313,14/12/2025 01:56:49,1765677408476,-6,13/12/2025 19:56:48,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8183.699999988079,,TRANSCODING FINISH,0,,,,,,,,microphoneCheck,,,
8,1765677409481,14/12/2025 01:56:49,1765677408480,-6,13/12/2025 19:56:48,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8187.199999988079,,250842-10-14743101-task-1onv-51389547-test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
9,1765677409481,14/12/2025 01:56:49,1765677408480,-6,13/12/2025 19:56:48,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8187.399999976158,,https://app.gorilla.sc/uploads/schedule/51389547?filename=test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
10,1765677409481,14/12/2025 01:56:49,1765677408483,-6,13/12/2025 19:56:48,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,8190,,,0,,,,,,,,microphoneCheck,,,
11,1765677424100,14/12/2025 01:57:04,1765677423265,-6,13/12/2025 19:57:03,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,2,1,1,Screen 1,advancementZone,continue_button,14769.099999964237,,,0,,,,,,,,StemComp-Instructions,,,
12,1765677441271,14/12/2025 01:57:21,1765677440424,-6,13/12/2025 19:57:20,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,2,1,2,Screen 2,advancementZone,continue_button,17126.19999998808,,,0,,,,,,,,StemComp-Instructions,,,
13,1765677442752,14/12/2025 01:57:22,1765677441916,-6,13/12/2025 19:57:21,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,15,1,1,Screen 3,Zone1,timelimit_screen,1499,,,0,,,,,1,,1,stemComp,fe.mp3,femod,FE___
14,1765677444364,14/12/2025 01:57:24,1765677443509,-6,13/12/2025 19:57:23,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,15,1,2,Screen 1,audioCue,content_audio,1587.800000011921,,,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
15,1765677444525,14/12/2025 01:57:24,1765677443554,-6,13/12/2025 19:57:23,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,15,1,3,Screen 2,advancementZone,audio_recording,36.19999998807907,,STARTED RECORDING,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
16,1765677449732,14/12/2025 01:57:29,1765677448889,-6,13/12/2025 19:57:28,250842,10,task-1onv,,51389547,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Stem completion (no orth),8,,,audio-Success,,,B,attention_pass,,day1done,,eligible,stemCompletion_all,stemCompletion_all,15,1,3,Screen 2,Zone1,continue_button,5367.599999964237,,,0,,,,,,,1,stemComp,fe.mp3,femod,FE___
