Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display
1,1765234798817,08/12/2025 22:59:58,1765234785623,-5,08/12/2025 17:59:45,250842,10,task-1wvc,,51269954,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765234826437,08/12/2025 23:00:26,1765234812995,-5,08/12/2025 18:00:12,250842,10,task-1wvc,,51269954,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,27322,,,0,,,,,,,,microphoneCheck
3,1765234826588,08/12/2025 23:00:26,1765234813014,-5,08/12/2025 18:00:13,250842,10,task-1wvc,,51269954,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,END TASK,,,,,27391,,,,,,,,,,,
1,1765579871453,12/12/2025 22:51:11,1765579851819,-5,12/12/2025 17:50:51,250842,10,task-1wvc,,51378415,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,1920x1080,1869x955,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765579890296,12/12/2025 22:51:30,1765579870722,-5,12/12/2025 17:51:10,250842,10,task-1wvc,,51378415,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,1920x1080,1869x955,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,18892,,,0,,,,,,,,microphoneCheck
3,1765579890453,12/12/2025 22:51:30,1765579870734,-5,12/12/2025 17:51:10,250842,10,task-1wvc,,51378415,5cfc7489e289a80016b6e29f,14743093,,complete,,693ec363e28337b737f00921,computer,Desktop or Laptop,Windows 10,Firefox 145.0,1920x1080,1869x955,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,END TASK,,,,,18915,,,,,,,,,,,
1,1765580068573,12/12/2025 22:54:28,1765580068351,-7,12/12/2025 15:54:28,250842,10,task-1wvc,,51378443,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765580116629,12/12/2025 22:55:16,1765580115889,-7,12/12/2025 15:55:15,250842,10,task-1wvc,,51378443,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,47445.10000002384,,,0,,,,,,,,microphoneCheck
3,1765580116860,12/12/2025 22:55:16,1765580115904,-7,12/12/2025 15:55:15,250842,10,task-1wvc,,51378443,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,,,END TASK,,,,,47553,,,,,,,,,,,
1,1765580111215,12/12/2025 22:55:11,1765580110248,-6,12/12/2025 16:55:10,250842,10,task-1wvc,,51378453,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x551,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765580135110,12/12/2025 22:55:35,1765580134177,-6,12/12/2025 16:55:34,250842,10,task-1wvc,,51378453,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x551,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,23879.100000023842,,,0,,,,,,,,microphoneCheck
3,1765580135280,12/12/2025 22:55:35,1765580134180,-6,12/12/2025 16:55:34,250842,10,task-1wvc,,51378453,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x551,day1done,,,Sound check - Mic,2,,,audio-Success,,,B,attention_pass,,day1done,,eligible,soundCheck,,,END TASK,,,,,23932,,,,,,,,,,,
1,1765580869469,12/12/2025 23:07:49,1765580869376,-5,12/12/2025 18:07:49,250842,10,task-1wvc,,51378608,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1360x768,1360x641,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765580883353,12/12/2025 23:08:03,1765580883297,-5,12/12/2025 18:08:03,250842,10,task-1wvc,,51378608,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1360x768,1360x641,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,13881.700000017881,,,0,,,,,,,,microphoneCheck
3,1765580883489,12/12/2025 23:08:03,1765580883300,-5,12/12/2025 18:08:03,250842,10,task-1wvc,,51378608,6644cd2538b07b2b6aaa4376,14743129,,complete,,693e0bffdcf0df30f3f57b8c,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1360x768,1360x641,day1done,,,Sound check - Mic,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,soundCheck,,,END TASK,,,,,13924,,,,,,,,,,,
1,1765581228196,12/12/2025 23:13:48,1765581228161,-6,12/12/2025 17:13:48,250842,10,task-1wvc,,51378700,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1588x732,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,,,BEGIN TASK,,,,,,,,,,,,,,,,
2,1765581253637,12/12/2025 23:14:13,1765581253623,-6,12/12/2025 17:14:13,250842,10,task-1wvc,,51378700,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1984x915,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,soundCheck,4,,1,Screen 1,Zone3,continue_button,25413.100000023842,,,0,,,,,,,,microphoneCheck
3,1765581253764,12/12/2025 23:14:13,1765581253632,-6,12/12/2025 17:14:13,250842,10,task-1wvc,,51378700,66eb98fcc46d14f31c30e799,14743144,,complete,,693df911658c0377862c6fe4,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1587x893,1984x915,day1done,,,Sound check - Mic,2,,,audio-Success,,,C,,attention_pass,,day1done,eligible,soundCheck,,,END TASK,,,,,25471,,,,,,,,,,,
