Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
1,1765581085862,12/12/2025 23:11:25,1765581085669,-7,12/12/2025 16:11:25,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765581095413,12/12/2025 23:11:35,1765581094696,-7,12/12/2025 16:11:34,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,1,1,1,Screen 1,advancementZone,continue_button,8930.200000047684,,,0,,,,,,,,recog-Instructions,,,,,,
3,1765581096441,12/12/2025 23:11:36,1765581096275,-7,12/12/2025 16:11:36,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,10,1,1,opt1,Zone1,content_audio,1547.6000000238419,,,0,,,,,,,1,recog-trial,dester.mp3,solly.mp3,2,animal.PNG,solly,dester
4,1765581098001,12/12/2025 23:11:38,1765581097855,-7,12/12/2025 16:11:37,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,10,1,2,opt2,Zone1,content_audio,1560.5,,,0,,,,,,,1,recog-trial,dester.mp3,solly.mp3,2,animal.PNG,solly,dester
5,1765581098261,12/12/2025 23:11:38,1765581098129,-7,12/12/2025 16:11:38,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,10,1,3,response,Zone1,response_keyboard,260.89999997615814,,2,1,1,,,,,,1,recog-trial,dester.mp3,solly.mp3,2,animal.PNG,solly,dester
6,1765581099788,12/12/2025 23:11:39,1765581099112,-7,12/12/2025 16:11:39,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,10,1,4,ITI,Zone1,timelimit_screen,1000.5,,,0,,,,,1,,1,recog-trial,dester.mp3,solly.mp3,2,animal.PNG,solly,dester
7,1765581100897,12/12/2025 23:11:40,1765581100715,-7,12/12/2025 16:11:40,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,2,1,opt1,Zone1,content_audio,1579.3999999761581,,,0,,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
8,1765581102417,12/12/2025 23:11:42,1765581102275,-7,12/12/2025 16:11:42,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,2,2,opt2,Zone1,content_audio,1544.3999999761581,,,0,,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
9,1765581102870,12/12/2025 23:11:42,1765581102733,-7,12/12/2025 16:11:42,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,2,3,response,Zone1,response_keyboard,444.6999999284744,,2,1,1,,,,,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
10,1765581103870,12/12/2025 23:11:43,1765581103733,-7,12/12/2025 16:11:43,250842,10,task-2xk3,,51378665,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,2,2,4,ITI,Zone1,timelimit_screen,1001.1000000000022,,,0,,,,,1,,1,recog-trial,wabon.mp3,tesdar.mp3,2,money.PNG,tesdar,wabon
