Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,ANSWER,foil
1,1765580951831,12/12/2025 23:09:11,1765580950878,-6,12/12/2025 17:09:10,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,
2,1765580959321,12/12/2025 23:09:19,1765580958399,-6,12/12/2025 17:09:18,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,1,1,1,Screen 1,advancementZone,continue_button,7484.199999988079,,,0,,,,,,,,recog-Instructions,,,,,
3,1765580960188,12/12/2025 23:09:20,1765580959286,-6,12/12/2025 17:09:19,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,1,Screen 1,Zone1,content_audio,875.2000000476837,,,0,,,,,,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
4,1765580961037,12/12/2025 23:09:21,1765580960127,-6,12/12/2025 17:09:20,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,2,Screen 2,Zone1,content_audio,824.6000000238419,,,0,,,,,,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
5,1765580961749,12/12/2025 23:09:21,1765580960846,-6,12/12/2025 17:09:20,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,3,Screen 3,Zone1,response_keyboard,694,,1,1,1,,,,,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
6,1765580963739,12/12/2025 23:09:23,1765580962825,-6,12/12/2025 17:09:22,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,2,1,4,Screen 4,Zone1,timelimit_screen,999.6000000000004,,,0,,,,,1,,1,recog-practice,chocolate.mp3,chocolor.mp3,1,chocolate,chocolor
7,1765580964747,12/12/2025 23:09:24,1765580963844,-6,12/12/2025 17:09:23,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,3,2,1,Screen 1,Zone1,content_audio,996.3000000119209,,,0,,,,,,,1,recog-practice,octopum.mp3,octopus.mp3,2,octopus,octopum
8,1765580965778,12/12/2025 23:09:25,1765580964846,-6,12/12/2025 17:09:24,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,3,2,2,Screen 2,Zone1,content_audio,993.6999999880791,,,0,,,,,,,1,recog-practice,octopum.mp3,octopus.mp3,2,octopus,octopum
9,1765580966330,12/12/2025 23:09:26,1765580965294,-6,12/12/2025 17:09:25,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,3,2,3,Screen 3,Zone1,response_keyboard,427.69999998807907,,2,1,1,,,,,,1,recog-practice,octopum.mp3,octopus.mp3,2,octopus,octopum
10,1765580968183,12/12/2025 23:09:28,1765580967273,-6,12/12/2025 17:09:27,250842,10,task-hxyd,,51378634,6645755c72f71662e832dfb8,14743101,,complete,,693c9d132166a776eb61ffd6,computer,Desktop or Laptop,Windows 10,Chrome 143.0.0.0,1280x720,1280x720,day1done,,,Form Recognition (2AFC),4,,,audio-Success,,,B,attention_pass,,day1done,,eligible,formRecog_all,formRecog_all,3,2,4,Screen 4,Zone1,timelimit_screen,999.5,,,0,,,,,1,,1,recog-practice,octopum.mp3,octopus.mp3,2,octopus,octopum
