Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
1,1765580794745,12/12/2025 23:06:34,1765580794531,-7,12/12/2025 16:06:34,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,
2,1765580797708,12/12/2025 23:06:37,1765580797517,-7,12/12/2025 16:06:37,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,1,Screen 1,advancementZone,continue_button,2864.6999999284744,,,0,,,,,,,,microphoneCheck,,,
3,1765580812847,12/12/2025 23:06:52,1765580812103,-7,12/12/2025 16:06:52,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,2,Screen 2,Zone3,continue_button,14548.200000047684,,,0,,,,,,,,microphoneCheck,,,
4,1765580820412,12/12/2025 23:07:00,1765580819684,-7,12/12/2025 16:06:59,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,7560.299999952316,,STARTED RECORDING,0,,,,,,,,microphoneCheck,,,
5,1765580824863,12/12/2025 23:07:04,1765580824698,-7,12/12/2025 16:07:04,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,12574.5,,STOPPED RECORDING,0,,,,,,,,microphoneCheck,,,
6,1765580825428,12/12/2025 23:07:05,1765580824704,-7,12/12/2025 16:07:04,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,12579.799999952316,,TRANSCODING START,0,,,,,,,,microphoneCheck,,,
7,1765580826743,12/12/2025 23:07:06,1765580826588,-7,12/12/2025 16:07:06,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,14464.299999952316,,TRANSCODING FINISH,0,,,,,,,,microphoneCheck,,,
8,1765580826999,12/12/2025 23:07:06,1765580826597,-7,12/12/2025 16:07:06,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,14473,,250842-10-14743096-task-ieex-51378597-test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
9,1765580826999,12/12/2025 23:07:06,1765580826597,-7,12/12/2025 16:07:06,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,14473.599999904633,,https://app.gorilla.sc/uploads/schedule/51378597?filename=test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
10,1765580826999,12/12/2025 23:07:06,1765580826602,-7,12/12/2025 16:07:06,250842,10,task-ieex,,51378597,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Stem completion (no orth),8,,,audio-Success,,,C,,attention_pass,,day1done,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,14477.799999952316,,,0,,,,,,,,microphoneCheck,,,
