Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
1,1765580289366,12/12/2025 22:58:09,1765580289054,-7,12/12/2025 15:58:09,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765580304027,12/12/2025 22:58:24,1765580303261,-7,12/12/2025 15:58:23,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,1,1,1,Screen 2,advancementZone,continue_button,14138,,,0,,,,,,,,instructions,,,,,,
3,1765580332509,12/12/2025 22:58:52,1765580331766,-7,12/12/2025 15:58:51,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,1,1,2,Screen 1,advancementZone,continue_button,28479.399999976158,,,0,,,,,,,,instructions,,,,,,
4,1765580340963,12/12/2025 22:59:00,1765580340753,-7,12/12/2025 15:59:00,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,2,1,1,Screen 1,advancementZone,continue_button,8961.400000095367,,,0,,,,,,,,storyTitle,,,,,Title.JPG,
5,1765580370514,12/12/2025 22:59:30,1765580369756,-7,12/12/2025 15:59:29,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,3,1,1,Screen 1,storyAudio,content_audio,28981.899999976158,,,0,,,,,,,,storyScreens,,,,,Scene1.JPG,CC_P1.mp3
6,1765580400092,12/12/2025 23:00:00,1765580399875,-7,12/12/2025 15:59:59,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,4,2,1,Screen 1,storyAudio,content_audio,30091.299999952316,,,0,,,,,,,,storyScreens,,,,,Scene2.JPG,CC_P2.mp3
7,1765580446997,12/12/2025 23:00:46,1765580446795,-7,12/12/2025 16:00:46,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,5,3,1,Screen 1,storyAudio,content_audio,46887.199999928474,,,0,,,,,,,,storyScreens,,,,,Scene3.JPG,CC_P3.mp3
8,1765580492728,12/12/2025 23:01:32,1765580491995,-7,12/12/2025 16:01:31,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,6,4,1,Screen 1,storyAudio,content_audio,45173,,,0,,,,,,,,storyScreens,,,,,Scene4.JPG,CC_P4.mp3
9,1765580525329,12/12/2025 23:02:05,1765580524494,-7,12/12/2025 16:02:04,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,7,5,1,Screen 1,storyAudio,content_audio,32469.899999976158,,,0,,,,,,,,storyScreens,,,,,Scene5.JPG,CC_P5.mp3
10,1765580575653,12/12/2025 23:02:55,1765580574895,-7,12/12/2025 16:02:54,250842,10,task-n1na,,51378493,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1536x864,day1done,,,Exposure: Story (no orth),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,story_C_picOnly,story_C_picOnly,8,6,1,Screen 1,storyAudio,content_audio,50375.60000002384,,,0,,,,,,,,storyScreens,,,,,Scene6.JPG,CC_P6.mp3
