Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,audio_cue,item,written_cue
1,1765235362500,08/12/2025 23:09:22,1765235349188,-5,08/12/2025 18:09:09,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,
2,1765235365631,08/12/2025 23:09:25,1765235352178,-5,08/12/2025 18:09:12,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,1,Screen 1,advancementZone,continue_button,2914.2999999988824,,,0,,,,,,,,microphoneCheck,,,
3,1765235374787,08/12/2025 23:09:34,1765235361369,-5,08/12/2025 18:09:21,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,2,Screen 2,Zone3,continue_button,9112.800000000745,,,0,,,,,,,,microphoneCheck,,,
4,1765235381083,08/12/2025 23:09:41,1765235367906,-5,08/12/2025 18:09:27,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,6511.300000000745,,STARTED RECORDING,0,,,,,,,,microphoneCheck,,,
5,1765235386356,08/12/2025 23:09:46,1765235372929,-5,08/12/2025 18:09:32,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,11533.5,,STOPPED RECORDING,0,,,,,,,,microphoneCheck,,,
6,1765235386719,08/12/2025 23:09:46,1765235372935,-5,08/12/2025 18:09:32,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,11540,,TRANSCODING START,0,,,,,,,,microphoneCheck,,,
7,1765235387421,08/12/2025 23:09:47,1765235374281,-5,08/12/2025 18:09:34,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,12886.199999999255,,TRANSCODING FINISH,0,,,,,,,,microphoneCheck,,,
8,1765235387556,08/12/2025 23:09:47,1765235374288,-5,08/12/2025 18:09:34,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,12893,,250842-10-14710098-task-qyn5-51270041-test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
9,1765235387556,08/12/2025 23:09:47,1765235374289,-5,08/12/2025 18:09:34,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,12893.699999999255,,https://app.gorilla.sc/uploads/schedule/51270041?filename=test-0-3.mp3,0,,,,,,,,microphoneCheck,,,
10,1765235387556,08/12/2025 23:09:47,1765235374291,-5,08/12/2025 18:09:34,250842,10,task-qyn5,,51270041,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 142.0.0.0,1536x864,1528x698,day1done,,,Stem completion (no orth),8,day1done,attention_pass,audio-Success,,,A,,,,,eligible,stemCompletion_all,stemCompletion_all,1,1,3,Screen 3,Zone1,audio_recording,12896.099999999627,,,0,,,,,,,,microphoneCheck,,,
