Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,aud1,aud2,correctResponse,picture,ANSWER,incorrect
1,1765669101966,13/12/2025 23:38:21,1765669101894,-7,13/12/2025 16:38:21,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1765669113183,13/12/2025 23:38:33,1765669113131,-7,13/12/2025 16:38:33,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,1,1,1,Screen 1,advancementZone,continue_button,11183.20000000298,,,0,,,,,,,,recog-Instructions,,,,,,
3,1765669114758,13/12/2025 23:38:34,1765669114691,-7,13/12/2025 16:38:34,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,3,1,1,opt1,Zone1,content_audio,1539.0999999940395,,,0,,,,,,,1,recog-trial,femod.mp3,parung.mp3,1,tree.PNG,femod,parung
4,1765669116432,13/12/2025 23:38:36,1765669116251,-7,13/12/2025 16:38:36,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,3,1,2,opt2,Zone1,content_audio,1550.2999999970198,,,0,,,,,,,1,recog-trial,femod.mp3,parung.mp3,1,tree.PNG,femod,parung
5,1765669117200,13/12/2025 23:38:37,1765669117107,-7,13/12/2025 16:38:37,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,3,1,3,response,Zone1,response_keyboard,845.7999999970198,,1,1,1,,,,,,1,recog-trial,femod.mp3,parung.mp3,1,tree.PNG,femod,parung
6,1765669118223,13/12/2025 23:38:38,1765669118104,-7,13/12/2025 16:38:38,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,3,1,4,ITI,Zone1,timelimit_screen,1001.2000000000007,,,0,,,,,1,,1,recog-trial,femod.mp3,parung.mp3,1,tree.PNG,femod,parung
7,1765669119718,13/12/2025 23:38:39,1765669119691,-7,13/12/2025 16:38:39,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,7,2,1,opt1,Zone1,content_audio,1571.2000000029802,,,0,,,,,,,1,recog-trial,rafar.mp3,regby.mp3,1,sun.PNG,rafar,regby
8,1765669121334,13/12/2025 23:38:41,1765669121291,-7,13/12/2025 16:38:41,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,7,2,2,opt2,Zone1,content_audio,1592.7000000029802,,,0,,,,,,,1,recog-trial,rafar.mp3,regby.mp3,1,sun.PNG,rafar,regby
9,1765669121647,13/12/2025 23:38:41,1765669121627,-7,13/12/2025 16:38:41,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,7,2,3,response,Zone1,response_keyboard,322.70000000298023,,1,1,1,,,,,,1,recog-trial,rafar.mp3,regby.mp3,1,sun.PNG,rafar,regby
10,1765669122663,13/12/2025 23:38:42,1765669122626,-7,13/12/2025 16:38:42,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,7,2,4,ITI,Zone1,timelimit_screen,1001.0999999999985,,,0,,,,,1,,1,recog-trial,rafar.mp3,regby.mp3,1,sun.PNG,rafar,regby
11,1765669124255,13/12/2025 23:38:44,1765669124211,-7,13/12/2025 16:38:44,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,3,1,opt1,Zone1,content_audio,1558.7999999970198,,,0,,,,,,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
12,1765669125823,13/12/2025 23:38:45,1765669125792,-7,13/12/2025 16:38:45,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,3,2,opt2,Zone1,content_audio,1572.1000000014901,,,0,,,,,,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
13,1765669126105,13/12/2025 23:38:46,1765669125819,-7,13/12/2025 16:38:45,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,3,3,response,Zone1,response_keyboard,18,,2,1,1,,,,,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
14,1765669126891,13/12/2025 23:38:46,1765669126814,-7,13/12/2025 16:38:46,250842,10,task-w6o6,,51388986,6621a2f38453311275d17d65,14743096,,complete,,693df7ca0b7db9ca467c735e,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Pic Recognition (2AFC),6,,,audio-Success,,,C,,attention_pass,,day1done,eligible,picRecog_C,picRecog_C,16,3,4,ITI,Zone1,timelimit_screen,1001.0999999999985,,,0,,,,,1,,1,recog-trial,mowel.mp3,ballow.mp3,2,backpack.PNG,ballow,mowel
