Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,compQ,compQleft,compQright,compQans,picture,audio
1,1764727307757,03/12/2025 02:01:47,1764727307615,-8,02/12/2025 18:01:47,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,,,BEGIN TASK,,,,,,,,,,,,,,,,,,,,,,
2,1764727315911,03/12/2025 02:01:55,1764727315815,-8,02/12/2025 18:01:55,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,1,1,1,Screen 2,advancementZone,continue_button,8181,,,0,,,,,,,,instructions,,,,,,
3,1764727326799,03/12/2025 02:02:06,1764727326688,-8,02/12/2025 18:02:06,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,1,1,2,Screen 1,advancementZone,continue_button,10867.199999988079,,,0,,,,,,,,instructions,,,,,,
4,1764727328679,03/12/2025 02:02:08,1764727328587,-8,02/12/2025 18:02:08,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,2,1,1,Screen 1,advancementZone,continue_button,1891.0999999940395,,,0,,,,,,,,storyTitle,,,,,Title.JPG,
5,1764727357804,03/12/2025 02:02:37,1764727357698,-8,02/12/2025 18:02:37,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,3,1,1,Screen 1,storyAudio,content_audio,29107,,,0,,,,,,,,storyScreens,,,,,Scene1.JPG,CA_P1.mp3
6,1764727389259,03/12/2025 02:03:09,1764727388738,-8,02/12/2025 18:03:08,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,4,2,1,Screen 1,storyAudio,content_audio,31028.80000001192,,,0,,,,,,,,storyScreens,,,,,Scene2.JPG,CA_P2.mp3
7,1764727435784,03/12/2025 02:03:55,1764727435671,-8,02/12/2025 18:03:55,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,5,3,1,Screen 1,storyAudio,content_audio,46924.19999998808,,,0,,,,,,,,storyScreens,,,,,Scene3.JPG,CA_P3.mp3
8,1764727481059,03/12/2025 02:04:41,1764727480962,-8,02/12/2025 18:04:40,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,6,4,1,Screen 1,storyAudio,content_audio,45279.90000000596,,,0,,,,,,,,storyScreens,,,,,Scene4.JPG,CA_P4.mp3
9,1764727513475,03/12/2025 02:05:13,1764727513388,-8,02/12/2025 18:05:13,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,7,5,1,Screen 1,storyAudio,content_audio,32414,,,0,,,,,,,,storyScreens,,,,,Scene5.JPG,CA_P5.mp3
10,1764727563967,03/12/2025 02:06:03,1764727563885,-8,02/12/2025 18:06:03,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,8,6,1,Screen 1,storyAudio,content_audio,50488.80000001192,,,0,,,,,,,,storyScreens,,,,,Scene6.JPG,CA_P6.mp3
11,1764727591293,03/12/2025 02:06:31,1764727591213,-8,02/12/2025 18:06:31,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,9,7,1,Screen 1,storyAudio,content_audio,27314.40000000596,,,0,,,,,,,,storyScreens,,,,,Scene7.JPG,CA_P7.mp3
12,1764727623652,03/12/2025 02:07:03,1764727623554,-8,02/12/2025 18:07:03,250842,5,task-zmm2,,51104211,BLINDED,14665152,,live,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 142.0.0.0,1920x1200,1709x965,day1done,,,Exposure: Story (no orth),6,day1done,attention_pass,audio-Success,,,A,,,,,eligible,story_A_picOnly,story_A_picOnly,10,8,1,Screen 1,storyAudio,content_audio,32329.5,,,0,,,,,,,,storyScreens,,,,,Scene8.JPG,CA_P8.mp3
