Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Randomise questionnaire elements?,Question Key,Response
1,1765320607475,09/12/2025 22:50:07,1765320594269,-5,09/12/2025 17:49:54,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,BEGIN QUESTIONNAIRE,
2,1765320649367,09/12/2025 22:50:49,1765320636168,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,taskAim,I thought my task was to learn the novel words
3,1765320649496,09/12/2025 22:50:49,1765320636170,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,taskAim-quantised,2
4,1765320649496,09/12/2025 22:50:49,1765320636170,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,taskAim-text,
5,1765320649496,09/12/2025 22:50:49,1765320636170,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,people,No
6,1765320649496,09/12/2025 22:50:49,1765320636171,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,people-quantised,1
7,1765320649496,09/12/2025 22:50:49,1765320636171,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,people-text,
8,1765320649496,09/12/2025 22:50:49,1765320636171,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,strategiesDuring,No
9,1765320649496,09/12/2025 22:50:49,1765320636172,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,strategiesDuring-quantised,1
10,1765320649496,09/12/2025 22:50:49,1765320636172,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,strategiesDuring-text,
11,1765320649496,09/12/2025 22:50:49,1765320636173,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,strategiesAfter,No
12,1765320649496,09/12/2025 22:50:49,1765320636173,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,strategiesAfter-quantised,1
13,1765320649496,09/12/2025 22:50:49,1765320636173,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,strategiesAfter-text,
14,1765320649496,09/12/2025 22:50:49,1765320636174,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,futureMemory1,No
15,1765320649496,09/12/2025 22:50:49,1765320636174,-5,09/12/2025 17:50:36,250842,10,questionnaire-a3l5,,51307580,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1513x698,day1done,,,Final questions_Paron,2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,No,futureMemory1-quantised,4
