Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,checkpoint-eqdz,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,branch-pusb,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,vocabItem,ANSWER
1,1765320429984,09/12/2025 22:47:09,1765320416760,-5,09/12/2025 17:46:56,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,,,,,,,,,
2,1765320434599,09/12/2025 22:47:14,1765320421413,-5,09/12/2025 17:47:01,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,4608.0999999940395,,,0,,,,,,,,vocabInstructions,,
3,1765320453419,09/12/2025 22:47:33,1765320440252,-5,09/12/2025 17:47:20,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,1,1,2,Screen 2,advancementZone,continue_keyboard,18828.5,,,0,,,,,,,,vocabInstructions,,
4,1765320469271,09/12/2025 22:47:49,1765320456084,-5,09/12/2025 17:47:36,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,Zone1,response_text_entry,15794.20000000298,, something that places you to different places,,,,,,,,,vocabItems,Car,
5,1765320469400,09/12/2025 22:47:49,1765320456086,-5,09/12/2025 17:47:36,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,15794.20000000298,,,0,,,,,,,,vocabItems,Car,
6,1765320483920,09/12/2025 22:48:03,1765320470747,-5,09/12/2025 17:47:50,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,Zone1,response_text_entry,14648.40000000596,,a small winged creature that chirps,,,,,,,,,vocabItems,Bird,
7,1765320484025,09/12/2025 22:48:04,1765320470750,-5,09/12/2025 17:47:50,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,3,2,1,Screen 1,advancementZone,continue_button,14648.40000000596,,,0,,,,,,,,vocabItems,Bird,
8,1765320510728,09/12/2025 22:48:30,1765320497559,-5,09/12/2025 17:48:17,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,4,3,1,Screen 1,Zone1,response_text_entry,26796.70000000298,,an animal that is domestic ,,,,,,,,,vocabItems,Pet,
9,1765320510854,09/12/2025 22:48:30,1765320497565,-5,09/12/2025 17:48:17,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,4,3,1,Screen 1,advancementZone,continue_button,26796.70000000298,,,0,,,,,,,,vocabItems,Pet,
10,1765320518320,09/12/2025 22:48:38,1765320505145,-5,09/12/2025 17:48:25,250842,10,task-ytla,,51307529,670391e01385e6794f0eff25,14710098,,complete,,6938a58edf434b9f87cd0a5c,computer,Desktop or Laptop,Windows 10,Edge 143.0.0.0,1536x864,1528x698,day1done,,,Vocab(task),2,day1done,attention_pass,audio-Success,,,A,,,,,eligible,Spreadsheet1,Spreadsheet1,5,4,1,Screen 1,Zone1,response_text_entry,7548.4000000059605,,something the rings ,,,,,,,,,vocabItems,Bell,
